actor,Movie_or_TV_name
Anthony Gounaris,The Godfather Saga
Anthony Gounaris,The Godfather
Anthony Gounaris,The Godfather: Behind the Scenes
Anthony Gounaris,The Godfather
Anthony Gounaris,The Godfather Trilogy: 1901-1980
Anthony Gounaris,The Godfather Family: A Look Inside
Joe Lo Grippo,Requiem for a Robot
Joe Lo Grippo,Il Barbiere
Joe Lo Grippo,The Plot Against Harry
Joe Lo Grippo,From Here to Eternity
Joe Lo Grippo,The Godfather Saga
Joe Lo Grippo,Kojak
Joe Lo Grippo,The Godfather: Part II
Joe Lo Grippo,The Godfather
Joe Lo Grippo,The French Connection
Merril E. Joels,Marco Polo Jr.
Bobra Harris,Trading Places
Merril E. Joels,The Godfather
Merril E. Joels,The United States Steel Hour
Merril E. Joels,X Minus One
Merril E. Joels,The Web
Bobra Harris,The Awakening
Bobra Harris,Marathon Man
Bobra Harris,The Godfather
Bobra Harris,Kraft Theatre
Randy Jurgensen,100 Centre Street
Randy Jurgensen,Donnie Brasco
Randy Jurgensen,Thinner
Randy Jurgensen,The Juror
Randy Jurgensen,Homicide: Life on the Street
Randy Jurgensen,Violated
Randy Jurgensen,Still of the Night
Randy Jurgensen,Vigilante
Randy Jurgensen,Fort Apache the Bronx
Randy Jurgensen,See China and Die
Randy Jurgensen,Maniac
Randy Jurgensen,Cruising
Randy Jurgensen,Firepower
Randy Jurgensen,Superman
Randy Jurgensen,The Brink's Job
Randy Jurgensen,Bloodbrothers
Randy Jurgensen,To Kill a Cop
Randy Jurgensen,Contract on Cherry Street
Randy Jurgensen,The Godfather Saga
Randy Jurgensen,Sorcerer
Randy Jurgensen,God Told Me To
Randy Jurgensen,Strike Force
Randy Jurgensen,Report to the Commissioner
Randy Jurgensen,The Seven-Ups
Randy Jurgensen,Cops and Robbers
Randy Jurgensen,Badge 373
Randy Jurgensen,Mr. Inside/Mr. Outside
Randy Jurgensen,The Godfather
Randy Jurgensen,The French Connection
Randy Jurgensen,Goosed
Randy Jurgensen,The Bulls' Night Out
Sonny Grosso,Citizen Jane
Randy Jurgensen,Thinner
Randy Jurgensen,New York Cop
Randy Jurgensen,In the Shadow of a Killer
Randy Jurgensen,A Time to Remember
Randy Jurgensen,Heart
Randy Jurgensen,"One Down, Two to go"
Randy Jurgensen,Vigilante
Randy Jurgensen,A Crime to Remember
Randy Jurgensen,Die Hard with a Vengeance
Randy Jurgensen,Maniac
Randy Jurgensen,Cruising
Randy Jurgensen,The Brink's Job
Randy Jurgensen,Report to the Commissioner
Randy Jurgensen,The Godfather
Randy Jurgensen,"One Down, Two to go"
Randy Jurgensen,The Seven-Ups
Randy Jurgensen,Heart
Randy Jurgensen,Vigilante
Randy Jurgensen,Vigilante
Randy Jurgensen,Godsend
Randy Jurgensen,Confidence
Randy Jurgensen,Monster's Ball
Randy Jurgensen,Who is Bill Rebane?
Randy Jurgensen,Blue Collar Death Wish
Randy Jurgensen,Friedkin Uncut
Randy Jurgensen,It Was Hell: An Interview with Technical Adviser Randy Jurgensen
Randy Jurgensen,Randy Jurgensen's Scrapbook
Randy Jurgensen,Real to Reel
Randy Jurgensen,The Seven-Ups: Cut to the Chase
Randy Jurgensen,A Crime to Remember
Randy Jurgensen,A Night at the Movies: Cops & Robbers and Crime Writers
Randy Jurgensen,Anatomy of a Chase
Randy Jurgensen,Scene of the Crime
Randy Jurgensen,Exorcising Cruising
Randy Jurgensen,The History of Cruising
Randy Jurgensen,Precinct Hollywood
Randy Jurgensen,The Poughkeepsie Shuffle: Tracing 'the French Connection'
Randy Jurgensen,The Godfather Trilogy: 1901-1980
Sonny Grosso,Kings of South Beach
Sonny Grosso,N.Y.-70
Sonny Grosso,Red Phone 2
Sonny Grosso,Judgment Day: Should the Guilty Go Free
Sonny Grosso,The Red Phone: Manhunt
Sonny Grosso,All Around the Town
Sonny Grosso,Lucky Day
Sonny Grosso,Haven't We Met Before
Sonny Grosso,You Belong to Me
Sonny Grosso,Pretend You Don't See Her
Sonny Grosso,"Loves Music, Loves to Dance"
Sonny Grosso,Making the Connection: Untold Stories of 'the French Connection'
Sonny Grosso,LeTourneau Live
Sonny Grosso,Mary Kay Letourneau: All American Girl
Sonny Grosso,Moonlight Becomes You
Sonny Grosso,Let Me Call You Sweetheart
Sonny Grosso,The Big Easy
Sonny Grosso,While My Pretty One Sleeps
Sonny Grosso,Remember Me
Sonny Grosso,Bellevue Emergency
Sonny Grosso,Moment of Truth
Sonny Grosso,Top Cops
Sonny Grosso,Gangsters
Sonny Grosso,Counterstrike
Sonny Grosso,Secret Service
Sonny Grosso,True Blue
Sonny Grosso,A Family for Joe
Sonny Grosso,Night Heat
Sonny Grosso,Juvenile Justice
Sonny Grosso,The Gunfighters
Sonny Grosso,Diamonds
Sonny Grosso,Hot Shots
Sonny Grosso,Pee-wee's Playhouse
Sonny Grosso,Out of the Darkness
Sonny Grosso,Trackdown: Finding the Goodbar Killer
Sonny Grosso,Johnny Garage
Sonny Grosso,A Question of Honor
Sonny Grosso,Baker's Dozen
Sonny Grosso,CBS Afternoon Playhouse
Sonny Grosso,The Dain Curse
Sonny Grosso,Strike Force
Sonny Grosso,Making the Connection: Untold Stories of 'the French Connection'
Sonny Grosso,Cruising
Sonny Grosso,The Brink's Job
Sonny Grosso,To Kill a Cop
Sonny Grosso,Contract on Cherry Street
Sonny Grosso,Foster & Laurie
Sonny Grosso,Report to the Commissioner
Sonny Grosso,Kojak
Sonny Grosso,The Seven-Ups
Sonny Grosso,The Godfather
Sonny Grosso,The French Connection
Sonny Grosso,Night Heat
Sonny Grosso,Baker's Dozen
Sonny Grosso,A Question of Honor
Sonny Grosso,Strike Force
Sonny Grosso,The Seven-Ups
Sonny Grosso,Out of the Darkness
Sonny Grosso,Cruising
Sonny Grosso,The Country Western Murders
Sonny Grosso,To Kill a Cop
Sonny Grosso,Contract on Cherry Street
Sonny Grosso,The Godfather Saga
Sonny Grosso,Report to the Commissioner
Sonny Grosso,The Seven-Ups
Sonny Grosso,Mr. Inside/Mr. Outside
Sonny Grosso,The Godfather
Sonny Grosso,The French Connection
Sonny Grosso,The Corrupt and the Dead: Tales of the Philly Underworld
Sonny Grosso,Friedkin and Grosso Remember: The French Connection
Sonny Grosso,Exorcising Cruising
Sonny Grosso,The History of Cruising
Sonny Grosso,Inside TV Land
Sonny Grosso,Making the Connection: Untold Stories of 'the French Connection'
Sonny Grosso,The Joe Spinell Story
